flight_id,aircraft_id,airline,origin_airport,destination_airport,aircraft_type,aircraft_age,engine_temp,oil_pressure,vibration_level,engine_rpm,fuel_consumption_rate,hydraulic_pressure,tire_pressure,brake_temperature,avionics_health_score,operational_hours,month,day_of_week,departure_hour,distance,flight_duration,takeoff_landing_cycles,days_since_last_maintenance,crew_experience,origin_temperature,origin_humidity,origin_wind_speed,origin_visibility,origin_precipitation,origin_weather_condition,destination_temperature,destination_humidity,destination_wind_speed,destination_visibility,destination_precipitation,destination_weather_condition,previous_delays_count,previous_cancellations_count,previous_maintenance_issues,aircraft_reliability_score,equipment_failure,flight_cancelled,cancellation_reason,delay_minutes
FL20000,N72674,F9,LAS,IAH,Airbus A320,18,430.5,28.5,13.01,2088,3283,3446,227,174,84,782,9,1,9,1219,166,489,155,6506,64,75,21,8,0,Clear,71,75,6,9,0,Clear,2,1,0,59,0,0,None,15
FL20001,N72828,AA,DEN,SEA,Airbus A320,19,425.8,23.6,16.22,2388,2428,2851,229,171,67,8279,5,3,9,1022,142,1833,124,5763,73,66,25,5,1,Rainy,58,75,7,7,0,Cloudy,2,0,1,59,1,1,Maintenance,0
FL20002,N93927,AA,SEA,MIA,Airbus A330,17,408.6,33.7,8.66,2555,3153,3012,173,118,88,4802,11,1,12,2721,348,684,94,10995,59,89,24,8,0,Clear,64,38,29,3,1,Rainy,0,0,1,60,0,0,None,15
FL20003,N91704,F9,DEN,SEA,Airbus A320,15,428.2,34.7,16.77,2501,3044,2951,212,197,84,9451,11,1,9,1022,144,865,119,10444,70,88,20,8,0,Clear,54,49,24,7,0,Clear,0,0,0,65,0,0,None,0
FL20004,N51500,DL,JFK,MCO,Embraer E175,7,354.1,41.0,16.01,2793,3145,2715,169,135,83,9915,12,1,11,945,142,3184,66,4973,37,54,20,10,0,Clear,38,77,8,1,1,Foggy,1,0,0,69,0,1,Weather,0
FL20005,N47469,AS,MIA,JFK,Boeing 787,7,366.5,46.6,12.86,2685,3398,3173,204,205,90,8554,12,0,21,1091,151,701,139,10103,47,58,20,3,1,Snowy,40,38,8,8,0,Clear,1,0,0,85,0,1,Weather,0
FL20006,N57003,F9,ATL,BOS,Boeing 777,16,382.4,40.7,14.73,2119,3149,2930,190,172,64,6495,11,4,7,945,139,4756,56,6045,54,77,13,9,0,Clear,56,69,6,9,0,Clear,0,1,1,69,0,0,None,45
FL20007,N26225,AS,ATL,LAS,Boeing 787,0,353.1,30.2,10.69,2328,2983,2951,184,87,100,3491,11,5,13,1742,234,2367,109,13279,55,31,24,10,0,Clear,65,56,18,8,0,Clear,2,0,1,89,0,0,None,0
FL20008,N35839,DL,ATL,LAS,Boeing 787,11,409.5,31.5,17.53,2305,2937,3045,196,114,89,9987,6,0,19,1742,236,4266,160,7205,73,76,41,3,1,Rainy,80,27,23,9,0,Clear,1,0,0,76,0,0,None,0
FL20009,N57708,AS,MCO,BOS,Boeing 787,7,356.5,41.9,17.35,2125,3328,2890,220,211,100,7127,2,5,19,1122,158,494,45,3060,37,81,7,9,0,Clear,33,73,14,8,0,Clear,0,0,0,79,0,0,None,0
FL20010,N88699,B6,JFK,DFW,Boeing 787,0,326.5,30.7,6.27,2561,2728,2797,184,178,100,1585,7,4,10,1388,187,3247,97,3609,93,36,23,8,0,Clear,88,62,16,9,0,Clear,1,0,0,90,0,0,None,15
FL20011,N71717,NK,ORD,JFK,Airbus A330,16,390.5,30.1,17.77,2393,2846,2963,212,151,77,8470,5,4,21,738,119,3068,103,13941,63,54,13,8,0,Cloudy,67,81,22,10,0,Clear,0,0,1,65,1,0,None,0
FL20012,N46777,DL,BOS,CLT,Airbus A320,16,407.0,33.9,16.24,2642,2980,2984,225,129,60,7364,3,6,15,727,107,3692,100,8789,62,21,6,9,0,Clear,69,28,15,7,0,Clear,5,1,1,63,1,1,Maintenance,0
