flight_id,aircraft_id,airline,origin_airport,destination_airport,aircraft_type,aircraft_age,engine_temp,oil_pressure,vibration_level,engine_rpm,fuel_consumption_rate,hydraulic_pressure,tire_pressure,brake_temperature,avionics_health_score,operational_hours,month,day_of_week,departure_hour,distance,flight_duration,takeoff_landing_cycles,days_since_last_maintenance,crew_experience,origin_temperature,origin_humidity,origin_wind_speed,origin_visibility,origin_precipitation,origin_weather_condition,destination_temperature,destination_humidity,destination_wind_speed,destination_visibility,destination_precipitation,destination_weather_condition,previous_delays_count,previous_cancellations_count,previous_maintenance_issues,aircraft_reliability_score,equipment_failure,flight_cancelled,cancellation_reason,delay_minutes
FL20000,N58135,AS,ATL,DEN,Embraer E175,11,305.8,45.5,11.07,2542,2720,2851,165,68,92,3806,12,5,7,1197,176,3290,9,3436,49,62,39,5,1,Snowy,34,40,14,7,0,Cloudy,0,1,0,63,0,1,Weather,0
FL20001,N99187,UA,JFK,SFO,Airbus A320,3,322.6,28.6,6.59,2691,2716,2847,177,168,90,2721,10,2,20,2580,339,1081,52,8522,61,43,11,9,0,Clear,64,68,14,9,1,Cloudy,1,1,0,81,0,0,None,0
FL20002,N48476,AA,DEN,PHX,Embraer E175,13,336.5,59.0,9.52,2237,2830,3116,208,214,72,4570,6,4,12,601,98,2720,42,3933,93,23,40,2,1,Rainy,98,85,16,9,0,Clear,1,1,0,61,0,0,None,45
FL20003,N75155,NK,CLT,LAS,Airbus A320,3,398.6,31.6,9.34,2580,2960,3056,189,148,86,7395,4,0,18,1911,267,3683,144,6908,62,61,7,8,0,Clear,53,55,19,7,0,Cloudy,0,0,1,83,1,1,Maintenance,0
FL20004,N44859,WN,IAH,ATL,Boeing 787,5,383.6,27.8,12.69,2570,2943,2855,204,126,100,5836,3,0,13,687,104,1619,153,5178,52,72,23,10,1,Cloudy,66,37,9,9,0,Clear,0,0,0,79,0,0,None,0
FL20005,N53204,DL,LAS,MIA,Boeing 737,1,307.0,33.3,16.84,2480,3425,3150,186,133,91,9143,3,3,8,2171,290,4857,58,1067,51,40,11,9,1,Cloudy,51,63,18,9,0,Clear,1,1,1,78,1,1,Maintenance,0
FL20006,N89198,NK,DFW,MCO,Boeing 787,3,278.3,44.7,10.82,2425,3124,2940,207,129,83,151,1,6,20,983,155,1809,22,4889,45,33,10,8,0,Cloudy,27,67,17,4,1,Rainy,2,0,0,83,0,0,None,0
FL20007,N42731,UA,PHX,SFO,Airbus A320,8,358.0,29.5,12.28,2532,2779,2580,190,129,80,2266,11,4,21,650,111,3986,72,6835,68,34,17,9,0,Cloudy,53,36,17,10,0,Clear,1,0,1,76,1,1,Maintenance,0
FL20008,N35088,DL,ATL,IAH,Airbus A330,17,359.4,47.7,15.0,2576,2733,3093,204,184,62,4965,3,6,17,687,112,2157,47,5738,63,59,8,7,0,Clear,66,55,10,9,0,Clear,0,0,1,63,1,0,None,90
FL20009,N13272,B6,MCO,IAH,Boeing 737,6,350.3,38.6,13.51,2844,3245,3163,198,162,89,4540,11,0,5,852,139,647,54,7515,60,70,6,10,0,Cloudy,52,33,19,7,0,Clear,0,0,0,80,0,0,None,60
FL20010,N68620,AS,CLT,LAX,Embraer E175,7,302.3,44.2,10.64,2417,3026,3289,206,139,99,5057,8,1,18,2120,276,2381,5,10112,95,47,18,10,0,Clear,84,81,42,2,1,Rainy,3,0,0,75,0,0,None,0
