flight_id,aircraft_id,airline,origin_airport,destination_airport,aircraft_type,aircraft_age,engine_temp,oil_pressure,vibration_level,engine_rpm,fuel_consumption_rate,hydraulic_pressure,tire_pressure,brake_temperature,avionics_health_score,operational_hours,month,day_of_week,departure_hour,distance,flight_duration,takeoff_landing_cycles,days_since_last_maintenance,crew_experience,origin_temperature,origin_humidity,origin_wind_speed,origin_visibility,origin_precipitation,origin_weather_condition,destination_temperature,destination_humidity,destination_wind_speed,destination_visibility,destination_precipitation,destination_weather_condition,previous_delays_count,previous_cancellations_count,previous_maintenance_issues,aircraft_reliability_score,equipment_failure,flight_cancelled,cancellation_reason,delay_minutes
FL20000,N63793,B6,SEA,DFW,Airbus A320,8,339.5,45.8,15.78,2762,3155,3266,199,133,83,2350,12,6,14,1657,222,4680,19,9153,44,65,10,9,0,Clear,39,87,12,7,0,Clear,0,0,1,75,0,0,None,30
FL20001,N96605,DL,MIA,DEN,Boeing 737,22,338.3,36.0,16.24,2334,2581,2779,215,125,77,3628,2,1,7,1707,241,3448,49,14494,40,67,43,5,1,Rainy,29,40,17,9,0,Clear,2,1,3,50,1,1,Maintenance,0
FL20002,N42503,AA,JFK,DEN,Embraer E175,7,413.6,50.9,13.08,2494,3096,3345,199,126,80,9805,7,1,19,1621,231,2772,174,10340,81,57,22,8,0,Clear,88,50,18,10,1,Cloudy,2,1,1,72,0,0,None,45
FL20003,N73400,B6,LAS,MIA,Boeing 777,7,365.5,34.0,13.09,2380,2932,3154,208,180,86,1486,10,1,14,2171,298,684,83,13554,69,47,10,8,0,Clear,70,65,15,8,0,Clear,0,0,1,76,1,1,Maintenance,0
FL20004,N26692,UA,MIA,SFO,Airbus A320,17,406.0,33.4,11.46,2591,3298,3234,199,135,85,1886,11,0,22,2581,346,2346,152,1734,64,83,39,3,1,Rainy,57,82,14,8,0,Clear,1,0,1,66,1,1,Maintenance,0
FL20005,N67017,F9,BOS,LAS,Boeing 787,10,376.7,33.9,11.56,2449,3127,2990,191,154,83,6875,11,2,21,2375,321,4396,154,2058,51,53,19,3,1,Rainy,54,69,22,10,0,Clear,0,0,0,77,1,1,Maintenance,0
FL20006,N77648,WN,SFO,EWR,Airbus A330,17,453.1,35.6,18.68,2445,3220,3173,203,206,71,8867,9,1,21,2559,331,1924,139,3956,68,24,7,8,1,Cloudy,57,65,19,7,1,Cloudy,2,2,3,59,1,1,Maintenance,0
FL20007,N41394,UA,ORD,SFO,Boeing 787,8,328.8,30.1,11.54,1901,3301,3235,195,114,99,3359,5,4,13,1841,242,2296,84,9112,66,80,18,10,0,Clear,54,21,21,9,0,Clear,0,0,0,76,0,0,None,0
FL20008,N82456,AS,JFK,EWR,Boeing 737,11,431.5,36.0,14.36,2610,3317,3200,187,143,100,6864,2,6,20,21,28,501,176,1616,40,59,13,7,0,Clear,32,24,16,5,1,Snowy,2,0,0,71,1,0,None,0
FL20009,N37723,AS,LAS,CLT,Embraer E175,9,356.8,46.2,21.07,2367,3055,2677,194,124,90,9824,3,1,19,1911,256,494,105,11082,53,48,17,9,0,Clear,59,42,19,8,0,Clear,1,0,1,67,1,0,None,15
FL20010,N49246,NK,EWR,MIA,Airbus A320,3,352.6,44.4,14.79,2161,3276,3123,237,177,85,3061,12,5,6,1087,169,4062,97,14264,42,73,21,8,0,Clear,41,87,23,10,0,Cloudy,0,0,1,83,0,0,None,30
FL20011,N67561,F9,LAX,SEA,Boeing 787,10,345.2,38.4,19.02,2331,2677,3114,202,143,88,7593,9,0,20,955,150,4330,30,12882,62,59,7,8,0,Clear,69,33,43,3,1,Rainy,1,1,0,81,1,1,Maintenance,0
FL20012,N54493,WN,JFK,ORD,Embraer E175,8,398.6,44.7,6.76,2538,2995,2859,213,150,60,1112,10,1,22,738,114,2438,99,10641,55,23,22,7,0,Clear,70,55,23,9,0,Clear,1,2,1,72,0,0,None,45
FL20013,N29583,UA,SFO,IAH,Airbus A330,7,375.6,28.1,15.81,2216,3267,2949,187,142,66,8575,7,3,18,1632,220,2586,88,13642,87,79,16,10,0,Clear,95,72,9,9,0,Clear,0,0,0,72,1,1,Maintenance,0
FL20014,N76342,B6,DEN,BOS,Boeing 777,16,343.6,36.0,17.18,2214,2945,2896,187,90,87,9766,7,5,10,1749,241,2427,26,12157,73,51,17,7,0,Clear,73,46,21,9,0,Clear,0,0,0,68,1,1,Maintenance,0
