flight_id,aircraft_id,airline,origin_airport,destination_airport,aircraft_type,aircraft_age,engine_temp,oil_pressure,vibration_level,engine_rpm,fuel_consumption_rate,hydraulic_pressure,tire_pressure,brake_temperature,avionics_health_score,operational_hours,month,day_of_week,departure_hour,distance,flight_duration,takeoff_landing_cycles,days_since_last_maintenance,crew_experience,origin_temperature,origin_humidity,origin_wind_speed,origin_visibility,origin_precipitation,origin_weather_condition,destination_temperature,destination_humidity,destination_wind_speed,destination_visibility,destination_precipitation,destination_weather_condition,previous_delays_count,previous_cancellations_count,previous_maintenance_issues,aircraft_reliability_score,equipment_failure,flight_cancelled,cancellation_reason,delay_minutes
FL20000,N23531,B6,DFW,ORD,Airbus A320,6,376.0,27.7,15.71,2358,2606,2934,223,126,89,8377,1,5,11,801,122,2389,132,14410,35,71,16,8,0,Cloudy,33,24,21,8,0,Cloudy,0,0,0,78,1,0,None,15
FL20001,N64949,F9,DEN,SFO,Airbus A330,11,358.9,50.0,17.06,2273,2900,2863,193,127,90,6899,10,1,5,965,149,535,27,6739,52,77,11,7,0,Cloudy,65,25,10,7,0,Cloudy,0,0,0,69,1,0,None,0
FL20002,N14253,AS,IAH,JFK,Embraer E175,11,386.0,38.7,11.91,2406,2504,2955,208,173,65,4278,9,3,19,1415,205,1882,115,2702,70,34,8,7,0,Clear,55,23,36,3,1,Rainy,3,2,0,62,1,0,None,0
FL20003,N11096,NK,MCO,MIA,Boeing 787,4,387.0,41.4,9.98,2704,2706,2654,218,173,76,9038,3,1,14,192,48,4349,89,13267,69,84,36,2,1,Rainy,71,86,13,2,1,Foggy,1,0,0,81,1,1,Maintenance,0
FL20004,N27440,WN,SEA,LAS,Boeing 777,13,337.9,24.9,16.69,2385,3055,3015,200,184,77,2886,9,6,9,866,139,2541,12,7750,54,54,15,7,0,Clear,64,62,13,7,0,Clear,0,0,1,65,1,0,None,45
FL20005,N86201,UA,LAS,ORD,Boeing 777,6,378.7,44.6,14.79,2183,2780,3006,189,197,87,6693,6,3,12,1510,219,4062,150,6988,89,84,13,7,0,Clear,95,76,20,9,0,Cloudy,1,0,0,79,1,1,Maintenance,0
FL20006,N24076,NK,MCO,ATL,Boeing 787,1,346.7,59.8,16.33,2385,3125,2951,178,206,96,5138,5,4,6,404,74,2406,98,10113,74,61,7,7,0,Cloudy,60,23,12,10,0,Clear,0,0,0,94,1,0,None,0
FL20007,N42556,NK,DFW,MIA,Boeing 737,23,413.6,34.8,17.6,2138,3152,2862,199,127,74,5683,4,1,13,1120,166,948,100,13993,66,42,6,8,0,Clear,57,55,6,8,1,Cloudy,2,0,0,50,1,1,Maintenance,0
FL20008,N55572,AS,LAS,JFK,Airbus A320,11,350.3,46.7,14.94,2368,2979,3000,206,176,100,9856,2,4,12,2242,301,4204,101,4446,38,81,18,3,1,Foggy,27,57,15,9,0,Clear,1,0,0,66,0,0,None,15
FL20009,N52355,B6,MIA,ATL,Boeing 777,19,364.4,30.3,13.03,2541,2847,3170,199,127,76,413,8,2,7,596,109,2342,13,8641,94,84,12,10,0,Clear,74,40,9,8,0,Clear,0,0,0,63,1,1,Maintenance,0
FL20010,N11466,F9,ATL,MCO,Airbus A330,17,426.8,40.3,12.34,2608,2731,2985,201,129,90,6595,4,3,22,404,78,1253,135,5157,66,74,8,8,0,Cloudy,70,61,7,8,0,Cloudy,0,0,1,60,1,0,None,90
FL20011,N62576,NK,LAX,EWR,Embraer E175,10,302.7,47.9,17.35,2764,3321,3342,190,116,77,7108,12,2,11,2448,320,2227,6,8904,29,50,21,8,0,Clear,48,88,9,10,0,Cloudy,1,0,1,68,0,0,None,30
FL20012,N10073,WN,ATL,ORD,Boeing 737,11,415.4,15.3,19.63,2400,2281,2950,196,130,98,4912,4,1,6,606,94,442,161,12370,60,57,9,10,0,Clear,51,29,21,10,0,Clear,1,0,0,70,1,1,Maintenance,0
FL20013,N43641,DL,EWR,CLT,Airbus A320,16,400.7,33.0,11.52,2739,2884,3060,210,96,92,2233,2,5,10,528,88,1087,90,7884,37,87,9,1,1,Foggy,42,22,10,7,0,Cloudy,0,0,0,66,1,1,Maintenance,0
FL20014,N64160,AS,BOS,MCO,Boeing 777,11,349.8,25.0,12.94,2454,3167,3425,184,142,89,2099,7,4,19,1122,160,1756,57,1468,81,78,23,7,0,Clear,73,29,5,10,0,Clear,0,1,0,72,1,0,None,45
FL20015,N35983,AS,PHX,EWR,Boeing 737,12,352.6,40.0,10.61,2561,3182,3358,182,134,81,220,5,5,13,2128,288,3767,30,5925,74,48,22,7,0,Cloudy,73,80,5,10,0,Clear,0,0,0,71,1,0,None,45
FL20016,N64488,F9,LAX,SFO,Boeing 787,1,415.6,46.5,5.25,2360,2916,2945,196,114,94,2718,4,0,11,337,62,3035,175,13530,51,36,24,10,0,Clear,51,20,12,8,0,Clear,0,0,0,92,1,1,Maintenance,0
FL20017,N63043,AA,JFK,MIA,Boeing 737,2,396.8,39.8,16.84,2862,2985,3223,207,99,88,3333,3,0,13,1091,161,4471,156,5478,51,32,8,8,0,Clear,68,69,9,10,0,Cloudy,0,0,0,80,1,1,Maintenance,0
FL20018,N18975,UA,BOS,DEN,Airbus A320,7,369.8,33.8,11.41,2373,2819,3041,204,154,100,3240,9,1,16,1749,242,4348,106,5264,63,49,7,7,0,Clear,58,37,10,8,0,Clear,0,0,0,77,1,1,Maintenance,0
FL20019,N11564,F9,SFO,MIA,Airbus A330,4,382.7,22.2,13.18,2388,3167,3363,210,126,95,8310,5,1,13,2581,339,2265,140,6685,61,84,14,8,0,Cloudy,54,86,13,7,0,Cloudy,1,0,0,76,1,0,None,30
FL20020,N74769,UA,EWR,IAH,Airbus A330,4,378.2,45.2,4.59,2499,3361,2989,197,184,100,967,9,6,11,1397,188,599,122,5379,51,82,19,7,0,Clear,58,42,8,7,0,Cloudy,0,1,1,83,0,0,None,15
FL20021,N57945,DL,IAH,JFK,Airbus A330,10,375.1,32.3,16.42,2755,3028,3120,180,134,100,3983,1,4,9,1415,204,1034,99,7507,47,86,43,5,1,Snowy,34,79,13,8,0,Clear,2,2,0,75,1,1,Maintenance,0
FL20022,N73902,AS,LAS,MIA,Embraer E175,6,338.7,40.0,9.95,2229,2566,2990,223,115,97,4224,8,1,5,2171,283,2157,48,3500,73,62,19,9,0,Clear,94,72,23,7,0,Clear,0,0,0,70,1,1,Maintenance,0
FL20023,N67158,UA,PHX,LAX,Boeing 787,7,353.2,39.4,16.38,2738,2782,2978,165,126,81,8277,6,6,21,369,81,4326,92,8865,95,27,21,9,0,Cloudy,71,57,10,9,0,Cloudy,0,0,0,83,1,1,Maintenance,0
FL20024,N22615,WN,BOS,ATL,Airbus A330,4,315.2,35.8,11.31,2352,3077,2800,226,122,95,6349,3,0,5,945,145,464,44,2773,55,77,14,8,0,Cloudy,64,41,12,8,0,Clear,1,0,0,85,0,0,None,0
FL20025,N87787,NK,PHX,BOS,Airbus A330,15,360.2,38.5,16.03,2235,3457,3084,211,183,60,7363,9,1,13,2294,304,2351,20,10468,55,49,24,8,0,Clear,63,76,13,10,0,Clear,0,1,0,59,1,0,None,0
FL20026,N74787,AS,DFW,IAH,Boeing 777,20,378.3,28.8,14.62,2280,3045,2999,219,164,70,1069,10,2,12,224,61,1795,88,5958,74,48,22,10,0,Clear,58,50,7,10,0,Clear,2,0,1,58,1,1,Maintenance,0
FL20027,N88844,NK,IAH,CLT,Airbus A320,8,367.8,34.9,20.39,2423,3730,2921,193,127,97,9734,5,6,5,910,135,3536,130,4599,54,34,15,10,0,Clear,55,55,22,9,0,Clear,0,0,0,75,1,0,None,30
FL20028,N82293,F9,SFO,DFW,Airbus A330,18,352.3,43.0,14.28,2531,3308,3034,215,108,82,890,4,6,22,1461,212,1843,37,4351,52,31,23,7,0,Cloudy,67,67,22,3,1,Rainy,1,0,0,61,1,1,Maintenance,0
FL20029,N83014,AA,BOS,SEA,Embraer E175,7,394.1,43.0,9.1,2679,3283,3144,178,185,79,1710,4,3,5,2488,327,459,97,11431,54,74,24,7,0,Clear,52,41,17,3,1,Rainy,1,0,1,73,1,1,Maintenance,0
FL20030,N15658,AA,LAX,SEA,Airbus A320,19,349.3,33.2,17.11,2543,3215,3349,201,156,76,6184,12,2,18,955,153,2777,5,4316,30,34,8,7,0,Clear,41,85,20,8,0,Clear,1,0,1,56,1,0,None,0
FL20031,N69968,NK,MCO,ATL,Airbus A330,13,345.9,36.3,16.05,2153,2896,2864,206,165,98,5635,8,5,9,404,83,478,58,2330,97,87,18,9,0,Clear,71,82,19,7,1,Cloudy,0,1,0,63,1,0,None,30
FL20032,N37283,F9,DEN,CLT,Boeing 787,9,375.5,40.2,14.56,2361,3181,2990,174,134,79,2998,8,1,6,1334,194,849,93,8109,85,53,22,9,0,Cloudy,96,75,12,10,0,Clear,0,0,0,82,1,0,None,30
FL20033,N59927,NK,ATL,EWR,Embraer E175,7,366.7,26.2,18.71,2611,3299,3219,212,134,92,6157,11,6,5,744,114,580,71,3149,74,67,19,7,0,Cloudy,54,26,19,9,1,Cloudy,1,0,0,66,1,1,Maintenance,0
FL20034,N65640,AA,EWR,LAS,Boeing 737,0,373.1,43.5,15.78,2356,3359,2649,180,132,66,8835,12,3,10,2221,297,222,133,11778,44,66,19,8,0,Cloudy,47,63,16,2,1,Snowy,0,0,1,87,0,1,Weather,0
